"MIS_CLASS","MIS_CODE","CODE_DESC","ACTIVE"
"SUBINDCOD","06200","TEBII (YANAR) QAZ HASILATI","A"
"SUBINDCOD","07","Mebel, ağac məmulatlarının (pəncərə, qapı və s) istehsalı","A"
"SUBINDCOD","07100","DEMIR FILIZININ HASILATI","A"
"SUBINDCOD","07210","URAN VE TORIUM FILIZLERININ HASILATI","A"
"SUBINDCOD","07291","QIYMETLI METALLARIN VE QIYMETLI DASLARIN ISTEHSALI (QIY. METALIN FILIZLERDEN, KONSENTRATLARDAN ALINMASI)","A"
"SUBINDCOD","07299","DIGER ELVAN METAL FILIZLERININ HASILATI","A"
"SUBINDCOD","08","Sellüloz- kağız istehsalı və poliqrafiya fəaliyyəti","A"
"SUBINDCOD","08111","DEKORATIV VE TIKINTI DASLARININ HASILATI","A"
"SUBINDCOD","08112","EHENG DASININ VE GIPSIN HASILATI","A"
"SUBINDCOD","08113","TEBASIR VE SUSUZLASDIRILMAMIS DELOMITIN HASILATI","A"
"SUBINDCOD","08114","SIST HASILATI","A"
"SUBINDCOD","08121","CINQIL VE QUMUN HASILATI","A"
"SUBINDCOD","08122","GIL VE KAOLIN HASILATI","A"
"SUBINDCOD","08910","KIMYA SENAYESI VE GUBRE ISTEHSALI UCUN MINERAL XAMMAL HASILATI","A"
"SUBINDCOD","08920","TORF HASILATI","A"
"SUBINDCOD","08930","DUZ HASILATI","A"
"SUBINDCOD","08991","MEDENCIXARMA SENAYESININ DIGER QRUPLARINA DAXIL EDILMEYEN SAIR SAHELERI","A"
"SUBINDCOD","08992","TEBII ASFALT VE BITUM HASILATI","A"
"SUBINDCOD","09","Neft məhsullarının istehsalı","A"
"SUBINDCOD","09101","NEFT VE TEBII QAZ HASILATI SAHESINDE XIDMETLERIN GOSTERILMESI","A"
"SUBINDCOD","09102","NEFT VE TEBII QAZIN HASILATI UCUN QUYULARIN QAZILMASI","A"
"SUBINDCOD","09900","MEDENCIXARMA SENAYESININ DIGER SAHELERINDE XIDMETLERIN GOSTERILMESI","A"
"SUBINDCOD","10","Kimya sənayesi","A"
"SUBINDCOD","10110","ET ISTEHSALI VE KONSERVLESDIRILMESI (QUS ETINDEN BASQA)","A"
"SUBINDCOD","10120","EV QUSLARI VE DOVSAN ETININ EMALI VE KONSERVLESDIRILMESI","A"
"SUBINDCOD","10131","KOLBASA, SOSISKA, SALYAMI, PASTET, BEKON VE SAIR ET MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","10132","ET, QUS VE EVDOVSANI ETINDEN DIGER MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","10201","BALIQ MEHSULLARININ ISTEHSALI","A"
"SUBINDCOD","10202","BALIGIN, XERCENGKIMILERIN VE MOLYUSKALARIN EMALI VE KONSERVLESDIRILMESI","A"
"SUBINDCOD","10311","KARTOFUN EMALI VE KONSERVLESDIRILMESI","A"
"SUBINDCOD","10312","KARTOF UNUNUN ISTEHSALI","A"
"SUBINDCOD","10320","MEYVE VE TEREVEZ SIRELERININ ISTEHSALI","A"
"SUBINDCOD","10391","DIGER QRUPLARA DAXIL EDILMEYEN MEYVE VE TEREVEZLERIN KONSERVLESDIRILMESI","A"
"SUBINDCOD","10392","MEYVE VE YA TEREVEZDEN YEYINTI MEHSULLARININ ISTEHSALI","A"
"SUBINDCOD","10393","CEM, MARMELAD VE JELENIN ISTEHSALI","A"
"SUBINDCOD","10411","TEMIZLENMEMIS YAG VE PIYLERIN ISTEHSALI","A"
"SUBINDCOD","10412","TEMIZLENMIS YAG VE PIYLERIN ISTEHSALI","A"
"SUBINDCOD","10420","MARQARIN VE QARISDIRILMIS YEYINTI PIYLERININ ISTEHSALI","A"
"SUBINDCOD","10511","SUD VE SUD MEHSULLARININ ISTEHSALI","A"
"SUBINDCOD","10512","PENDIR VE KESMIK ISTEHSALI","A"
"SUBINDCOD","10520","DONDURMA ISTEHSALI","A"
"SUBINDCOD","10611","BUGDA EMALI SENAYESI MEHSULLARININ ISTEHSALI","A"
"SUBINDCOD","10612","DENLI BITKILERDEN UN VE YARMA ISTEHSALI","A"
"SUBINDCOD","10620","NISASTA VE NISASTA MEHSULLARININ ISTEHSALI","A"
"SUBINDCOD","10710","COREK ISTEHSALI; UZUN MUDDET SAXLANILA BILMEYEN UNLU QENNADI MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","10720","SUXARI VE PECENYE ISTEHSALI, UZUN MUDDET SAXLANILA BILEN UNLU QENNADI MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","10730","MAKARON, ERISTE VE OXSAR MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","10810","SEKER (QEND) ISTEHSALI","A"
"SUBINDCOD","10820","KAKAO, SOKOLAD VE SEKERDEN QENNADI MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","10830","CAY VE KOFE ISTEHSALI (EMALI)","A"
"SUBINDCOD","10840","EDVIYYAT VE SIRELERIN ISTEHSALI","A"
"SUBINDCOD","10850","HAZIR YEMEKLERIN ISTEHSALI","A"
"SUBINDCOD","10860","USAQ QIDALARININ VE PEHRIZ ERZAQ MEHSULLARININ ISTEHSALI","A"
"SUBINDCOD","10890","DIGER QRUPLARA DAXIL EDILMEYEN SAIR QIDA MEHSULLARININ ISTEHSALI","A"
"SUBINDCOD","10910","FERMALARDA SAXLANAN HEYVANLAR UCUN HAZIR YEMLERIN ISTEHSALI","A"
"SUBINDCOD","10920","EV HEYVANLARI UCUN HAZIR YEMLERIN ISTEHSALI","A"
"SUBINDCOD","11","Rezin və plastmas məmulatların istehsalı","A"
"SUBINDCOD","11011","DISTILLE EDILMIS VE TEMIZLENMIS SPIRTLI ICKILERIN ISTEHSALI","A"
"SUBINDCOD","11012","QICQIRMA MATERIALLARINDAN ETIL SPIRTININ ISTEHSALI","A"
"SUBINDCOD","11020","UZUMDEN SERAB ISTEHSALI","A"
"SUBINDCOD","11030","SIDR VE BASQA GILEMEYVE SERABLARININ ISTEHSALI","A"
"SUBINDCOD","11040","QICQIRMA MATERIALLARINDAN DISTILLE EDILMEMIS SAIR ICKILERIN ISTEHSALI","A"
"SUBINDCOD","11050","PIVE ISTEHSALI","A"
"SUBINDCOD","11060","SEMENI PIVESININ ISTEHSALI","A"
"SUBINDCOD","11071","MINERAL SULAR VE DIGER SULARIN BUTULKALARDA ISTEHSALI","A"
"SUBINDCOD","11072","DIGER ALKOQOLSUZ ICKILERIN ISTEHSALI","A"
"SUBINDCOD","12","Digər qeyri-metal mineral məhsulların istehsalı","A"
"SUBINDCOD","12000","TUTUN MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","13","Metallurgiya sənayesi və hazır metal məmulatlarının istehsalı","A"
"SUBINDCOD","13101","PAMBIGIN ILKIN EMALI","A"
"SUBINDCOD","13102","PAMBIQ PARCA LIFININ EYIRILMESI","A"
"SUBINDCOD","13103","DARAMA MASININDA YUN LIFININ EYIRILMESI","A"
"SUBINDCOD","13104","KAMVOL YUN LIFININ EYIRILMESI","A"
"SUBINDCOD","13105","KETAN LIFININ EYIRILMESI","A"
"SUBINDCOD","13106","TEBII IPEK, SUNI VE SINTETIK LIFLERIN HAZIRLANMASI","A"
"SUBINDCOD","13107","TIKIS SAPLARININ ISTEHSALI","A"
"SUBINDCOD","13108","SAIR TOXUCULUQ LIFLERININ HAZIRLANMASI VE EYIRILMESI","A"
"SUBINDCOD","13201","PAMBIQ PARCALARIN ISTEHSALI","A"
"SUBINDCOD","13202","MASINLA DARANIB EYRILMIS LIFLERDEN YUN PARCALARIN ISTEHSALI","A"
"SUBINDCOD","13203","EVDE DARANIB EYRILMIS LIFLERDEN YUN PARCALARIN ISTEHSALI","A"
"SUBINDCOD","13204","IPEK PARCALARIN ISTEHSALI","A"
"SUBINDCOD","13300","PARCALARIN BEZEDILMESI","A"
"SUBINDCOD","13910","TOXUCULUQ KETANLARININ ISTEHSALI","A"
"SUBINDCOD","13921","GEYIMDEN BASQA HAZIR TOXUCULUQ MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","13922","YATAQ, YEMEK OTAGI, TUALET VE METBEX AGLARININ ISTEHSALI","A"
"SUBINDCOD","13930","XALCA VE XALCA MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","13940","KANAT (BURAZ), KENDIR, IP VE TOR ISTEHSALI","A"
"SUBINDCOD","13950","TOXUNULMAYAN TOXUCULUQ MATERIALLARI VE ONLARDAN MEMULATLARIN ISTEHSALI","A"
"SUBINDCOD","13960","TEXNIKI USULLA HAZIRLANAN DIGER TOXUCULUQ MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","13990","DIGER QRUPLARA DAXIL EDILMEYEN SAIR TOXUCULUQ MEMULATLARININ ISTEHSALI","A"
"SUBINDCOD","14","Maşın və avadanlıqların istehsalı","A"
"SUBINDCOD","14110","DERIDEN GEYIM ISTEHSALI","A"
"SUBINDCOD","14120","XUSUSI (IS) GEYIMIN ISTEHSALI","A"
"SUBINDCOD","14130","UST GEYIMIN ISTEHSALI","A"
"SUBINDCOD","14140","ALT PALTARI ISTEHSALI","A"
